"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"purple candle warmer lamp",46,37.5,5,816,436,30,0.9,0.68,1.2,377,534,8,0,0,1,0
"50w gu10 halogen bulb for candle warmer",69.2,58.8,49,"3,631",581,3,1.21,0.98,1.45,109,160,9,0,1,1,0
"110v 50w light bulb for candle warmer",75.6,67.4,28,"3,686",516,0,1.19,1.08,1.48,201,140,9,0,0,1,0
"candle warmer lamp bulbs",60,46.2,15,191,381,-18,,,,293,">2,000",8,0,0,1,0
"candle warmer lamp replacement bulbs",71.9,66.7,28,"1,053",436,1,1.28,1.06,1.5,231,">414",8,0,0,1,0
"np7 candle warmer bulb",72.7,85.7,16,"5,758",380,-15,,,,87,66,8,0,0,1,0
"bulb for candle warmer lamp",64.5,45.5,29,219,437,-6,0.95,0.84,1.14,233,">2,000",8,0,2,1,0
"50 watt gu10 bulbs for candle warmer",71.8,58.3,35,"3,261",437,1,1.15,1.06,1.47,98,134,8,0,2,1,0
"gu10+c 110v 50w candle warmer",60.6,48.8,35,"3,252",426,-1,1.22,1.06,1.63,133,131,8,0,0,1,0
"bulbs for candle warmer lamp",67.6,36.4,27,212,423,-8,1.06,0.77,1.18,230,">2,000",8,0,5,1,0
"50w halogen bulb for candle warmer",,,10,"1,675",330,40,,,,40,197,8,0,0,1,0
"candle for candle warmer lamp",35.3,16.7,16,424,424,47,1.47,1.18,1.85,276,">1,000",8,0,0,1,0
"gu10 c 110v 50w candle warmer",73.1,58.9,231,"26,930","2,693",21,1.15,1,1.49,171,100,27,0,0,1,0
"light bulbs for candle warmer lamps",,,11,164,327,-27,,,,273,">2,000",8,0,0,1,0
"candle wax warmers for wax melts",,,4,118,235,-26,,,,251,">2,000",8,0,0,1,0
"lightbulb for candle warmer lamp",72,58.3,18,172,344,-7,,,,259,">2,000",8,0,0,1,0
"candle warmer lamp christmas",,,11,281,256,-18,0.97,0.88,1.06,266,">911",8,0,0,1,0
"candle warmer lamp lightbulb",71.4,53.3,10,182,364,1,,,,221,">2,000",8,0,0,1,0
"candle warmer lamp light bulb replacement",66.1,47.8,11,505,412,46,,,,236,">816",8,0,0,1,0
"blackyuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass ",71.1,,1,"6,986",482,-1,0.74,0.58,1.08,64,69,9,0,0,1,0
"candle warmer lamp for teen girls",,,4,625,324,18,0.89,0.68,1.27,216,518,8,0,0,1,0
"scented jar candles for candle warmer lamps",27.3,14.3,5,392,392,9,1.47,1.09,1.78,241,">1,000",8,0,0,1,0
"candles for candle warmer lamp",31.8,12.5,15,436,436,47,1.36,1.03,1.64,376,">1,000",8,0,0,1,0
"wooden candle warmer lamp",,,4,458,312,25,,,,175,">681",8,0,2,1,0
"candle warmer for teen girls",,,2,554,277,-10,,,,231,500,8,0,0,1,0
"dimmable flower candle warmer lamp with timer, green candle lamp warmer for jar candle, 2024 womens ",,,2,715,346,18,,,,225,484,8,0,0,1,0
"tiffany candle warmer lamp",46.4,33.3,2,520,338,11,,,,254,650,8,0,0,1,0
"tiffany style candle warmer lamp",37.5,,2,"2,947",336,6,,,,229,114,8,0,1,1,0
"candle warmer lamp lantern style",,,3,550,311,-6,,,,194,565,8,0,0,1,0
"white and gold candle warmer",,,5,"1,094",304,3,,,,189,278,8,0,1,1,0
"candles for warmer",,,6,17,335,-12,,,,227,">20,000",8,0,0,1,0
"stained glass candle warmer",,,9,317,241,-3,,,,173,761,8,0,1,1,0
"candle warmer candle",,,22,11,219,-2,,,,159,">20,000",8,0,0,1,0
"candles for a candle warmer",33.3,,3,38,375,0,,,,178,">10,000",8,0,0,1,0
"2 pack candle warmer",,,3,130,259,-14,,,,154,">2,000",8,0,3,1,0
"candle warmer lamp led color changing",41.9,33.3,12,563,228,-3,,,,145,405,8,0,0,1,0
"candle warmer lamp butterfly",,,6,494,244,-1,,,,157,494,8,0,0,1,0
"candle warmer lamp white and silver",,,1,568,250,-23,,,,194,440,8,0,0,1,0
"mushroom candle warmer lamp",35.7,25,6,396,271,4,,,,151,">684",8,0,0,1,0
"dragonfly candle warmer lamp",,,9,517,349,19,,,,190,675,8,0,0,1,0
"candle warmer under 20",,,3,454,256,1,,,,127,564,8,0,0,1,0
"candle warmer lamp led",,,3,277,277,-1,,,,121,">1,000",8,0,0,1,0
"butterfly candle warmer lamp",57.1,,10,543,394,"n/a",0.77,0.56,0.95,118,725,8,0,0,1,0
"cheap candle warmer lamp",23.1,,5,63,317,"n/a",,,,148,">5,000",8,0,0,1,0
"red candle warmer lamp",53.6,,5,467,268,"n/a",,,,108,574,8,0,0,1,0
"best smelling candles for candle warmers",,,4,37,219,"n/a",,,,83,">6,000",8,0,0,1,0
"tiffany lamp candle warmer",48,,4,498,312,"n/a",,,,82,626,8,0,0,1,0
"sunflower candle warmer lamp",,,9,342,216,"n/a",,,,134,631,8,0,0,1,0
"candle warmer lamp under 20 dollars",,,1,"1,059",235,"n/a",,,,96,222,8,0,0,1,0
"orange candle warmer",,,1,94,283,"n/a",,,,131,">3,000",8,0,1,1,0
"nawaza candle warmer lamp",,,15,525,277,"n/a",,,,110,528,8,0,0,1,0
"wax for candle warmer",,,9,28,280,"n/a",,,,143,">10,000",8,0,0,1,0
"pusee candle mug warmer",,,16,"1,168",250,"n/a",,,,64,214,8,0,0,1,0
"candle warmer lamp with timer white",,,6,352,250,"n/a",,,,88,">710",8,0,0,1,0
"candle warmer lamp hummingbird",,,12,413,228,"n/a",,,,98,552,8,0,0,1,0
"candle warmer lamp gold and white",,,1,247,247,"n/a",,,,134,"1,000",8,0,0,1,0
"candle warmer lamp sunflower",,,7,750,375,"n/a",,,,123,500,8,0,0,1,0
"candle warmer lamp white base",,,7,357,244,"n/a",,,,103,684,8,0,0,1,0
