关键词词组,关键词销量,Magnet IQ得分,搜索量,搜索量趋势,竞品数,CPR,Cluster
candle warmer adjustable height,9,451.0,364.0,2.0,807.0,8,wax warmer
counter lamps for kitchen,9,525.0,418.0,-31.0,796.0,8,aromatherapy
coquette gifts for women,9,38.0,265.0,2.0,7000.0,8,gift for women
candle warmer lamp for men,9,705.0,408.0,25.0,579.0,8,candle warmer
ulg 2 pack candle warmer lamp with dimmer,9,522.0,265.0,-10.0,508.0,8,candle warmer
stained glass candle warmer,9,317.0,241.0,-3.0,761.0,8,wax warmer
dragonfly candle warmer lamp,9,517.0,349.0,19.0,675.0,8,candle warmer
adjustable candle lamp,9,255.0,241.0,,945.0,8,candle warmer
candle warmer lamp amber glass,9,315.0,216.0,,685.0,8,candle warmer
candle warmet,9,8.0,232.0,,30000.0,8,wax warmer
sunflower candle warmer lamp,9,342.0,216.0,,631.0,8,candle warmer
candle warmer under 25,9,364.0,228.0,,626.0,8,wax warmer
candle warmer lamp auto shut off,9,364.0,274.0,,753.0,8,candle warmer
candle warmer lamp skjrvrh,9,480.0,256.0,,533.0,8,candle warmer
birthday gift for woman,10,4.0,392.0,-29.0,100000.0,8,gift for women
bed lamps,10,215.0,644.0,-9.0,3000.0,10,aromatherapy
melt wax warmer,10,85.0,256.0,-8.0,3000.0,8,wax warmer
small counter lamp,10,480.0,437.0,-14.0,911.0,8,aromatherapy
zen candles,10,413.0,283.0,159.0,685.0,8,wax warmer
antique gifts for women,10,26.0,517.0,102.0,20000.0,9,gift for women
small candle warmer,10,140.0,698.0,11.0,5000.0,10,wax warmer
wooden decor,10,12.0,1234.0,5.0,100000.0,26,home decor
gift for women christmas,10,2.0,421.0,22.0,200000.0,8,gift for women
candle wax warmers,10,25.0,253.0,9.0,10000.0,8,wax warmer
christmas candle warmer,10,69.0,416.0,-44.0,6000.0,8,wax warmer
chrismas gift for mom,10,3.0,259.0,37.0,100000.0,8,mom gift
candle warmer for large candles,10,24.0,484.0,4.0,20000.0,9,wax warmer
candle wrmer,10,13.0,402.0,13.0,30000.0,8,wax warmer
antique candle co,10,1810.0,420.0,7.0,232.0,8,wax warmer
cozyberry candle warmer lamp,10,1090.0,581.0,21.0,533.0,9,candle warmer
novamer candle warmer lamp,10,429.0,228.0,31.0,531.0,8,candle warmer
candle+warmer,10,54.0,268.0,135.0,5000.0,8,wax warmer
candle warmer flower,10,2095.0,727.0,12.0,347.0,10,wax warmer
candle warmer lamp modern,10,657.0,567.0,15.0,863.0,9,candle warmer
candle warmer lamo,10,394.0,394.0,18.0,1000.0,8,wax warmer
candle warmer 3 wick,10,485.0,394.0,61.0,813.0,8,wax warmer
white elephant gifts for adults under $25,10,52.0,365.0,149.0,7000.0,8,white elephant
white elephant under 50,10,1132.0,274.0,164.0,242.0,8,white elephant
calentador de velas aromáticas electrico,10,966.0,762.0,129.0,789.0,11,aromatherapy
candle lamps with timer,10,277.0,277.0,113.0,1000.0,8,candle warmer
black elephant gifts,10,44.0,222.0,58.0,5000.0,8,white elephant
candle warmer lamp for large candles,10,436.0,436.0,13.0,1000.0,8,candle warmer
candle warmer lamp silver finish,10,841.0,439.0,-5.0,522.0,8,candle warmer
candle warmer lamp lightbulb,10,182.0,364.0,1.0,2000.0,8,candle warmer
yuichoy candle warmer lamp,10,1464.0,764.0,8.0,522.0,11,candle warmer
"dimmable flower candle warmer lamp with timer, vintage candle lamp warmer for jar candle, 2024 women",10,530.0,268.0,4.0,506.0,8,candle warmer
candle warmer lamp dimmable timer,10,246.0,238.0,2.0,966.0,8,candle warmer
seen last candle warmer lamp,10,576.0,301.0,-1.0,523.0,8,candle warmer
whats a good white elephant gift,10,271.0,271.0,-28.0,1000.0,8,white elephant
butterfly candle warmer lamp,10,543.0,394.0,,725.0,8,candle warmer
white elephant gifts for adults useful $20,10,295.0,265.0,,897.0,8,white elephant
mom lamp gift,10,11.0,228.0,,20000.0,8,aromatherapy
scented candles yankee,11,122.0,244.0,102.0,2000.0,8,wax warmer
wax warmer electric,11,424.0,424.0,-10.0,1000.0,8,wax warmer
extra large candles,11,9.0,644.0,5.0,70000.0,10,wax warmer
lotus lamp,11,2256.0,1940.0,-15.0,860.0,28,aromatherapy
wax warmer for candles,11,42.0,424.0,1.0,10000.0,8,wax warmer
candle warmer men,11,136.0,271.0,95.0,2000.0,8,wax warmer
candles warmer,11,129.0,644.0,25.0,5000.0,10,wax warmer
candle burners,11,121.0,241.0,23.0,2000.0,8,wax warmer
warming candles,11,43.0,216.0,7.0,5000.0,8,wax warmer
christmas house warming gifts,11,8.0,250.0,118.0,30000.0,8,house warming
warm candle,11,12.0,232.0,85.0,20000.0,8,wax warmer
candle heater lamp,11,566.0,517.0,16.0,914.0,9,candle warmer
candle lamp with timer,11,407.0,407.0,32.0,1000.0,8,candle warmer
mushroom candle warmer,11,335.0,213.0,-8.0,636.0,8,wax warmer
mother in law gofts,11,10.0,286.0,59.0,30000.0,8,mom gift
candel warmers,11,58.0,232.0,153.0,4000.0,8,wax warmer
house decor gifts for women,11,10.0,405.0,36.0,40000.0,8,gift for women
decor gifts for women,11,2.0,247.0,733.0,100000.0,8,gift for women
house warming gifts new apartment,11,291.0,581.0,21.0,2000.0,9,house warming
flower lamp candle warmer,11,1229.0,698.0,36.0,568.0,10,candle warmer
warm candle lamp,11,407.0,407.0,6.0,1000.0,8,candle warmer
light bulbs for candle warmer lamps,11,164.0,327.0,-27.0,2000.0,8,candle warmer
cupcakes and cashmere candle warmer,11,8522.0,1159.0,68.0,136.0,26,wax warmer
hong in candle warmer lamp,11,1610.0,235.0,21.0,146.0,8,candle warmer
candle warmer lamp christmas,11,281.0,256.0,-18.0,911.0,8,candle warmer
candle warmer lamp light bulb replacement,11,505.0,412.0,46.0,816.0,8,candle warmer
tulip candle warmer lamp,11,542.0,283.0,37.0,522.0,8,candle warmer
light for candle warmer lamp,11,428.0,428.0,13.0,1000.0,8,candle warmer
50 christmas gifts for women,11,13.0,396.0,46.0,30000.0,8,gift for women
girl white elephant gifts,11,59.0,235.0,3.0,4000.0,8,white elephant
electric candle warmer lamp with timer,11,283.0,277.0,-33.0,978.0,8,candle warmer
candle warmer lamp with candle included,11,238.0,238.0,-9.0,1000.0,8,candle warmer
candle lamp￼,11,466.0,247.0,-7.0,530.0,8,wax warmer
skjrvrh candle warmer lamp,11,536.0,280.0,,522.0,8,candle warmer
yohonk candle lamp warmer,11,1109.0,581.0,,524.0,9,candle warmer
"briever dimmable candle warmer lamp with timer, height adjustable electric candle wax warmer for jar",11,551.0,286.0,,519.0,8,candle warmer
home gifts for mom,12,3.0,283.0,145.0,100000.0,8,mom gift
nice white elephant gifts for adults,12,145.0,581.0,74.0,4000.0,9,white elephant
classy gifts for women,12,8.0,482.0,88.0,60000.0,9,gift for women
flower candle warmer,12,2889.0,1384.0,0.0,479.0,28,wax warmer
haunted mansion candle,12,1727.0,247.0,53.0,143.0,8,wax warmer
heated candle lamp,12,415.0,380.0,171.0,916.0,8,candle warmer
nice gifts,12,2.0,429.0,57.0,200000.0,8,other gift
gifts for the hostess,12,58.0,1164.0,24.0,20000.0,26,other gift
gift for white elephant,12,14.0,420.0,114.0,30000.0,8,white elephant
candles warmers,12,61.0,244.0,,4000.0,8,wax warmer
womens white elephant gift,12,41.0,410.0,69.0,10000.0,8,white elephant
candle warm lamp,12,274.0,274.0,75.0,1000.0,8,candle warmer
practical white elephant gifts,12,411.0,821.0,129.0,2000.0,11,white elephant
black candle lamp,12,368.0,232.0,25.0,630.0,8,aromatherapy
candle earmer,12,13.0,404.0,9.0,30000.0,8,wax warmer
christmas gift for moms,12,4.0,420.0,24.0,100000.0,8,mom gift
candle warmer for 3 wick candles,12,721.0,644.0,46.0,893.0,10,wax warmer
house warming gifts new home family,12,70.0,418.0,30.0,6000.0,8,house warming
mother's christmas gifts,12,4.0,380.0,102.0,100000.0,8,mom gift
candle warmer lamp for jar candles,12,222.0,222.0,114.0,1000.0,8,candle warmer
white elephant gifts for adults under 30,12,497.0,428.0,137.0,861.0,8,white elephant
candle warmer with remote,12,854.0,421.0,11.0,493.0,8,wax warmer
white elephant gifts for adults women,12,30.0,213.0,50.0,7000.0,8,white elephant
gifts around 30 dollars,12,241.0,241.0,25.0,1000.0,8,other gift
white+elephant+gifts,12,9.0,280.0,14033.0,30000.0,8,white elephant
crystal candle warmer lamp,12,1342.0,762.0,27.0,568.0,11,candle warmer
fonton candle,12,906.0,280.0,13.0,309.0,8,wax warmer
amazon candle warmers,12,1899.0,1052.0,40.0,554.0,25,wax warmer
soilsiu candle warmer lamp,12,397.0,213.0,-30.0,536.0,8,candle warmer
women's practical gifts,12,3.0,228.0,-5.0,90000.0,8,gift for women
candle warmer large base,12,110.0,219.0,-15.0,2000.0,8,wax warmer
are there any unique or novelty white elephant gifts,12,567.0,274.0,-49.0,483.0,8,white elephant
candle warmer lamp led color changing,12,563.0,228.0,-3.0,405.0,8,candle warmer
banbanda candle warmer lamp,12,3253.0,283.0,,87.0,8,candle warmer
candle warmer lamp hummingbird,12,413.0,228.0,,552.0,8,candle warmer
vintage kitchen decor,13,24.0,2426.0,0.0,100000.0,27,home decor
fragrance warmer,13,161.0,644.0,-5.0,4000.0,10,wax warmer
wax warmer candle,13,175.0,698.0,-12.0,4000.0,10,wax warmer
working from home gifts,13,20.0,405.0,69.0,20000.0,8,house warming
candle warmer gold,13,834.0,517.0,23.0,620.0,9,wax warmer
candle warmer timer,13,428.0,428.0,28.0,1000.0,8,candle warmer
side table decor,13,28.0,1386.0,0.0,50000.0,26,home decor
vintage lamps,13,366.0,2194.0,-16.0,6000.0,27,aromatherapy
electric wax warmer for scented wax,13,439.0,439.0,-22.0,1000.0,8,wax warmer
candle cover,13,117.0,820.0,-5.0,7000.0,11,wax warmer
wax melters,13,383.0,765.0,-18.0,2000.0,11,wax warmer
rustic wax warmer,13,1014.0,517.0,-11.0,510.0,9,wax warmer
presents for moms,13,7.0,439.0,18.0,60000.0,8,mom gift
cute christmas gifts for women,13,5.0,517.0,49.0,100000.0,9,gift for women
christmas white elephant gifts for adults,13,33.0,228.0,-9.0,7000.0,8,white elephant
candle heating lamp,13,728.0,516.0,10.0,709.0,9,candle warmer
candle warmer lamp blue,13,839.0,439.0,26.0,523.0,8,candle warmer
nvrgiup candle warmer lamp,13,495.0,262.0,14.0,529.0,8,candle warmer
white elephant gift sets,13,110.0,219.0,224.0,2000.0,8,white elephant
white elephant gifts for young adults,13,286.0,286.0,166.0,1000.0,8,white elephant
white elephant gifts for $30,13,121.0,241.0,184.0,2000.0,8,white elephant
funistree candle warmer lamp,13,7262.0,1053.0,28.0,145.0,25,candle warmer
engpure candle warmer lamp,13,779.0,408.0,24.0,524.0,8,candle warmer
mikasa candle warmer lamp,13,1410.0,764.0,43.0,542.0,11,candle warmer
women's home decor gifts,13,3.0,268.0,0.0,100000.0,8,gift for women
toacsucp candle warmer lamp,13,803.0,416.0,1.0,518.0,8,candle warmer
"candle warmer lamp with timer dimmer adjustable height,mothers day gifts,electric wax warmer vintage",13,512.0,277.0,-25.0,541.0,8,candle warmer
candle warmer lamp men,13,715.0,396.0,-12.0,554.0,8,candle warmer
candle warmer lamp teen girl,13,463.0,232.0,-24.0,501.0,8,candle warmer
candle warmer lamp color changing,13,454.0,280.0,-5.0,617.0,8,candle warmer
candle warmer lamp godonlif,13,528.0,283.0,-6.0,536.0,8,candle warmer
candle lamp warmer gold,13,219.0,219.0,,1000.0,8,candle warmer
art deco decor,14,31.0,2196.0,-6.0,70000.0,27,home decor
fragrance lamp,14,693.0,1386.0,72.0,2000.0,27,aromatherapy
interesting finds,14,374.0,1872.0,15.0,5000.0,26,home decor
christmas ideas for mom,14,9.0,426.0,6.0,50000.0,8,mom gift
everlasting candle,14,13448.0,3120.0,25.0,232.0,28,wax warmer
glass candle warmer,14,415.0,415.0,12.0,1000.0,8,wax warmer
warm and cozy gifts,14,2.0,228.0,168.0,100000.0,8,house warming
gifts for women in their 60's,14,1316.0,762.0,32.0,579.0,11,gift for women
candle melt,14,116.0,580.0,23.0,5000.0,9,wax warmer
new apartment gift,14,23.0,225.0,85.0,10000.0,8,house warming
unisex white elephant gifts,14,73.0,437.0,73.0,6000.0,8,white elephant
good christmas gifts for moms,14,15.0,1053.0,5.0,70000.0,25,mom gift
christmas decor gifts for women,14,2.0,241.0,14.0,100000.0,8,gift for women
zukakii candle warmer lamp,14,500.0,265.0,54.0,530.0,8,candle warmer
candle watmer lamp,14,426.0,426.0,17.0,1000.0,8,candle warmer
candle lanp,14,247.0,247.0,54.0,1000.0,8,wax warmer
candle warner lamp,14,271.0,271.0,109.0,1000.0,8,aromatherapy
candlewarmer lamp,14,743.0,424.0,-3.0,571.0,8,candle warmer
yuichoy candle warmer lamp with timer,14,3738.0,1940.0,20.0,519.0,27,candle warmer
birthday gifts women,15,5.0,516.0,-32.0,100000.0,9,gift for women
present for women,15,4.0,436.0,71.0,100000.0,8,gift for women
candle warmer lantern,15,1592.0,1592.0,25.0,1000.0,30,wax warmer
gifts for hosts,15,58.0,581.0,96.0,10000.0,9,other gift
light candle warmer,15,437.0,437.0,25.0,1000.0,8,wax warmer
heat lamp for candles,15,852.0,764.0,42.0,897.0,11,candle warmer
gifts for woman christmas,15,4.0,405.0,52.0,100000.0,8,gift for women
candles warmer lamp,15,698.0,698.0,34.0,1000.0,10,candle warmer
dimmable candle warmer,15,290.0,289.0,28.0,998.0,8,wax warmer
maoyue candle warmer lamp,15,452.0,238.0,74.0,526.0,8,candle warmer
candle warmer lamp bulbs,15,191.0,381.0,-18.0,2000.0,8,candle warmer
wanidea flameless candles lamp,15,4806.0,644.0,15.0,134.0,10,candle warmer
candles for candle warmer lamp,15,436.0,436.0,47.0,1000.0,8,candle warmer
imenlox dimmable candle warmer lamp,15,489.0,253.0,-27.0,517.0,8,candle warmer
aifei candle warmer lamp with timer,15,3652.0,241.0,-7.0,66.0,8,candle warmer
nawaza candle warmer lamp,15,525.0,277.0,,528.0,8,candle warmer
gifts for women birthday,16,4.0,436.0,-24.0,100000.0,8,gift for women
mom gifts birthday,16,6.0,644.0,-61.0,100000.0,10,mom gift
scented wax warmer,16,255.0,764.0,-6.0,3000.0,11,wax warmer
little girl room decor,16,21.0,2058.0,-8.0,100000.0,27,home decor
candle wax melt warmer,16,116.0,581.0,2.0,5000.0,9,wax warmer
aesthetic lamp,16,495.0,2972.0,-22.0,6000.0,28,aromatherapy
christmas present for women,16,4.0,389.0,68.0,100000.0,8,gift for women
wax melt warmers,16,254.0,762.0,-13.0,3000.0,11,wax warmer
candlewarmer,16,14.0,421.0,12.0,30000.0,8,wax warmer
christmas gifts for new moms,16,10.0,413.0,71.0,40000.0,8,mom gift
warming gifts,16,4.0,280.0,47.0,70000.0,8,house warming
white elefant gifts,16,225.0,225.0,28.0,1000.0,8,other gift
unisex white elephant gifts for adults under 25 dollars,16,122.0,244.0,36.0,2000.0,8,white elephant
seenlast candle warmer lamp,16,1084.0,581.0,38.0,536.0,9,candle warmer
3 wick candle warmer lamp,16,861.0,516.0,52.0,599.0,9,candle warmer
candle for candle warmer lamp,16,424.0,424.0,47.0,1000.0,8,candle warmer
dimmable flower candle warmer lamp with timer,16,411.0,222.0,-7.0,540.0,8,candle warmer
candle warmer lamp with timer: electric candles wax warmers glass lamps for jar candles burner adjus,16,432.0,241.0,-18.0,558.0,8,candle warmer
what white elephant gifts work well for mixed groups,16,9226.0,286.0,-44.0,31.0,8,white elephant
candle warmer lamp with timer adjustable height,16,362.0,289.0,,799.0,8,candle warmer
mocosa candle warmer lamp,16,470.0,247.0,,525.0,8,candle warmer
white elephant under 30,17,1514.0,277.0,80.0,183.0,8,white elephant
warm and cozy gifts for women,17,11.0,429.0,79.0,40000.0,8,gift for women
candle wax warmer electric,17,259.0,517.0,2.0,2000.0,9,wax warmer
candle melter lamp,17,1502.0,1212.0,25.0,807.0,26,candle warmer
gifts for women for christmas,17,6.0,581.0,41.0,100000.0,9,gift for women
eclectic home decor,17,423.0,4232.0,9.0,10000.0,30,home decor
cute home decor,17,17.0,1660.0,-1.0,100000.0,26,home decor
lamp wax warmer,17,698.0,698.0,20.0,1000.0,10,candle warmer
gifts for mom friends,17,3.0,250.0,28.0,100000.0,8,mom gift
white elephant gifts useful,17,322.0,644.0,126.0,2000.0,10,white elephant
white elephant gifts for adults 20 or less,17,734.0,262.0,,357.0,8,white elephant
candke warmer,17,19.0,567.0,41.0,30000.0,9,wax warmer
candle warmer lamp with remote,17,3411.0,764.0,-2.0,224.0,11,candle warmer
rustic candle warmer lamp,17,1354.0,823.0,57.0,608.0,11,candle warmer
sokcvsea candle warmer lamp,17,542.0,280.0,-87.0,517.0,8,candle warmer
white candle warmer lamp with timer,17,325.0,232.0,127.0,714.0,8,candle warmer
white elephant gifts under $50,17,9.0,274.0,223.0,30000.0,8,white elephant
white elephant $25,17,713.0,256.0,102.0,359.0,8,white elephant
candle warmer lamp glass shade,17,384.0,238.0,539.0,620.0,8,candle warmer
candle warmer￼,17,35.0,698.0,50.0,20000.0,10,wax warmer
dimmable flower candle warmer lamp,17,1358.0,762.0,-4.0,561.0,11,candle warmer
seenlast candle warmer lamp with timer dimmer adjustable,17,435.0,235.0,-16.0,540.0,8,candle warmer
good adult white elephant gifts,17,36.0,250.0,,7000.0,8,white elephant
gold home decor,18,22.0,2199.0,5.0,100000.0,28,home decor
gifts for new home,18,6.0,644.0,70.0,100000.0,10,house warming
kitchen counter lamp,18,439.0,2197.0,-15.0,5000.0,27,aromatherapy
candle melting lamp,18,698.0,698.0,1.0,1000.0,10,candle warmer
glass candle warmer lamp,18,945.0,762.0,60.0,806.0,11,candle warmer
candle warmer lamp green,18,1197.0,821.0,19.0,686.0,11,candle warmer
candle warmer lamp white and gold,18,514.0,271.0,12.0,527.0,8,candle warmer
lightbulb for candle warmer lamp,18,172.0,344.0,-7.0,2000.0,8,candle warmer
geezo fragrance candle warmer lamp，electric candle warmer with timer & dimmer，mom christmas birthday,18,448.0,225.0,-11.0,502.0,8,wax warmer
birthday presents for mom,19,5.0,517.0,-31.0,100000.0,9,mom gift
yankee candle warmer,19,698.0,698.0,53.0,1000.0,10,wax warmer
candle warmer candles,19,58.0,581.0,46.0,10000.0,9,wax warmer
candle warmer white,19,644.0,644.0,27.0,1000.0,10,wax warmer
christmas office gifts,19,3.0,253.0,4.0,100000.0,8,other gift
useful white elephant gifts under 25,19,281.0,238.0,487.0,847.0,8,white elephant
coquette gifts,19,182.0,1092.0,32.0,6000.0,26,other gift
briever dimmable candle warmer lamp with timer,19,1120.0,580.0,40.0,518.0,9,candle warmer
great gifts for mom,20,5.0,484.0,103.0,100000.0,9,mom gift
new home gifts for women,20,5.0,437.0,-16.0,80000.0,8,gift for women
anthropologie gifts,20,411.0,250.0,59.0,608.0,8,other gift
warming candle lamp,20,762.0,762.0,39.0,1000.0,11,candle warmer
gift for christmas for women,20,3.0,644.0,112.0,200000.0,10,gift for women
vintage candle warmer lamp,20,1789.0,1245.0,47.0,696.0,26,candle warmer
candle warmer lamp gold,20,1814.0,1159.0,18.0,639.0,26,candle warmer
white elephant 25 dollars,20,1746.0,241.0,993.0,138.0,8,white elephant
white elephant adult gifts,21,29.0,259.0,56.0,9000.0,8,white elephant
new job gift,21,9.0,280.0,8.0,30000.0,8,other gift
cute christmas gifts,21,12.0,1232.0,7.0,100000.0,26,other gift
gifts for christmas for women,21,5.0,517.0,34.0,100000.0,9,gift for women
gold candle warmer lamp,21,1915.0,1218.0,52.0,636.0,27,candle warmer
candle warmer lamp with,21,243.0,2426.0,7.0,10000.0,38,candle warmer
mom birthday gift,22,6.0,644.0,-30.0,100000.0,10,mom gift
moms gift,22,6.0,644.0,115.0,100000.0,10,mom gift
wax melt warmer electric,22,2064.0,2064.0,4.0,1000.0,27,wax warmer
black wax warmer,22,410.0,820.0,7.0,2000.0,11,wax warmer
gold candle warmer,22,1262.0,820.0,43.0,650.0,11,wax warmer
last minute gift,22,41.0,1215.0,3000.0,30000.0,26,other gift
gifts for a new mom,22,8.0,581.0,54.0,70000.0,9,mom gift
popular white elephant gifts,22,8.0,241.0,39.0,30000.0,8,white elephant
candle warmer lamp for 3 wick candles,22,1095.0,644.0,24.0,588.0,10,candle warmer
gender neutral gifts for adults under 25 dollars,22,396.0,225.0,57.0,568.0,8,gift for women
candle warmer lamp silver,22,2574.0,1431.0,16.0,556.0,26,candle warmer
modern candle warmer lamp,22,1451.0,1232.0,80.0,849.0,27,candle warmer
gifts under 30 dollars for adults useful,22,25.0,253.0,105.0,10000.0,8,other gift
tigqiang candle warmer lamp,22,503.0,262.0,26.0,521.0,8,candle warmer
scented candles for candle warmer lamps,22,482.0,482.0,19.0,1000.0,9,wax warmer
gift mom,23,7.0,698.0,79.0,100000.0,10,mom gift
white candle warmer,23,129.0,644.0,25.0,5000.0,10,wax warmer
mom gifts christmas,23,6.0,591.0,100.0,100000.0,9,mom gift
christmas home decor,23,14.0,1444.0,-68.0,100000.0,26,home decor
cute decor,23,31.0,3128.0,-27.0,100000.0,28,home decor
house decor for women,23,22.0,1092.0,-11.0,50000.0,26,home decor
xmas clearance,23,14.0,1434.0,193.0,100000.0,26,other gift
mother-in-law gifts,23,53.0,1052.0,84.0,20000.0,26,mom gift
white elephant gifts for adults useful under 50,23,430.0,247.0,122.0,575.0,8,white elephant
candle warmer lamp pink,23,1428.0,1232.0,18.0,863.0,26,candle warmer
lamp candle warmer with timer,23,644.0,644.0,65.0,1000.0,10,candle warmer
candle warmer lamp with timer and dimmer,23,716.0,581.0,40.0,811.0,9,candle warmer
mocalido candle warmer lamp,23,449.0,235.0,262.0,523.0,8,candle warmer
loowoko christmas candle warmer lamp,23,2671.0,219.0,,82.0,8,candle warmer
antique,24,31.0,3120.0,29.0,100000.0,39,home decor
heating lamp,24,176.0,1234.0,-28.0,7000.0,28,candle warmer
candle burner lamp,24,1913.0,1232.0,35.0,644.0,26,candle warmer
candles & candleholders,24,194.0,1940.0,19.0,10000.0,27,wax warmer
white elephant gifts for women useful,24,137.0,274.0,45.0,2000.0,8,white elephant
pink candle warmer lamp,24,2708.0,1384.0,39.0,511.0,27,candle warmer
candle warmer lamp adjustable,24,739.0,698.0,102.0,945.0,10,candle warmer
dimmable candle warmer lamp with timer,24,262.0,253.0,11.0,966.0,8,candle warmer
candle heat lamps,24,282.0,259.0,-8.0,917.0,8,candle warmer
50 dollar yankee swap gifts,24,761.0,213.0,-6.0,280.0,8,other gift
godonlif candle warmer lamp with timer,24,337.0,256.0,2.0,759.0,8,candle warmer
white elephant gifts 25 or less,24,748.0,232.0,,310.0,8,white elephant
vintage home decor,25,58.0,5810.0,15.0,100000.0,32,home decor
victorian decor,25,572.0,5151.0,7.0,9000.0,31,home decor
silver candle warmer lamp,25,1429.0,1232.0,29.0,862.0,26,candle warmer
a wax melt warmer,25,462.0,1386.0,14.0,3000.0,26,wax warmer
"candle warmer lamp, electric candle lamp warmer with timer, mom christmas birthday gifts for women, ",25,417.0,225.0,-11.0,540.0,8,wax warmer
candle warmer lamp with timer dimmer adjustable height,25,396.0,280.0,-12.0,707.0,8,candle warmer
mom goft,26,6.0,580.0,108.0,100000.0,9,mom gift
christmas present,27,16.0,1648.0,32.0,100000.0,26,other gift
mother birthday gifts,27,12.0,1159.0,-41.0,100000.0,26,mom gift
home office decor,27,30.0,2980.0,12.0,100000.0,28,home decor
gift for home,27,6.0,1234.0,158.0,200000.0,26,house warming
vintage gifts for women,27,16.0,1591.0,86.0,100000.0,26,gift for women
christmas gift for mother,27,6.0,581.0,85.0,100000.0,9,mom gift
candle light warmer lamp,27,1164.0,1164.0,50.0,1000.0,26,candle warmer
white elephant christmas gifts for adults,27,37.0,256.0,13.0,7000.0,8,white elephant
womens white elephant gift ideas,27,38.0,228.0,17.0,6000.0,8,white elephant
erumpere candle warmer lamp,27,541.0,289.0,36.0,534.0,8,candle warmer
$25 white elephant gifts,27,111.0,222.0,50.0,2000.0,8,white elephant
bulbs for candle warmer lamp,27,212.0,423.0,-8.0,2000.0,8,candle warmer
presents,28,18.0,1756.0,-3.0,100000.0,27,other gift
lantern candle warmer,28,1865.0,1434.0,26.0,769.0,26,wax warmer
candle heater,28,275.0,1650.0,-3.0,6000.0,27,wax warmer
lamp candle,28,1232.0,1232.0,47.0,1000.0,26,candle warmer
candle heat lamp,28,1284.0,1162.0,25.0,905.0,26,candle warmer
candle warmwr,28,55.0,1660.0,36.0,30000.0,26,wax warmer
candle lamps warmer,28,1050.0,1050.0,61.0,1000.0,25,candle warmer
gifts for mom' christmas,28,8.0,821.0,57.0,100000.0,11,mom gift
candle warmer lamp replacement bulbs,28,1053.0,436.0,1.0,414.0,8,candle warmer
gold room decor,29,91.0,7306.0,-5.0,80000.0,33,home decor
practical gifts for adults,29,25.0,1234.0,95.0,50000.0,26,other gift
office must haves,29,31.0,2194.0,4.0,70000.0,27,home decor
3 wick candle warmer,29,1776.0,1092.0,46.0,615.0,26,wax warmer
working woman gifts,29,6.0,247.0,48.0,40000.0,8,gift for women
mothers gifts for christmas,29,8.0,821.0,62.0,100000.0,11,mom gift
top family gifts,29,19.0,1872.0,135.0,100000.0,26,other gift
geezo fragrance candle warmer lamp,29,1347.0,698.0,-3.0,518.0,10,candle warmer
bulb for candle warmer lamp,29,219.0,437.0,-6.0,2000.0,8,candle warmer
"candle warmer lamp with timer, adjustable height candle warmer, dimmable, home decor, wax warmer lam",29,480.0,265.0,-28.0,552.0,8,candle warmer
moms gifts,30,11.0,1052.0,76.0,100000.0,25,mom gift
christmas wax warmer,30,359.0,1434.0,-75.0,4000.0,34,wax warmer
great white elephant gifts 30,30,133.0,265.0,,2000.0,8,white elephant
wax candle warmer,31,311.0,1245.0,0.0,4000.0,26,wax warmer
candle melt warmer,31,277.0,1384.0,8.0,5000.0,26,wax warmer
kitchen lamp,31,74.0,4429.0,-25.0,60000.0,30,aromatherapy
scented wax melt warmer,31,274.0,821.0,-12.0,3000.0,11,wax warmer
perfect housewarming gifts,31,3412.0,1450.0,19.0,425.0,26,house warming
lamp for candle warmer,31,1242.0,1242.0,53.0,1000.0,26,candle warmer
large candle warmer lamp for 3 wick candles,31,1948.0,1165.0,46.0,598.0,26,candle warmer
ladies christmas gifts,32,6.0,644.0,53.0,100000.0,10,gift for women
christmas for mom gifts,32,6.0,581.0,88.0,100000.0,9,mom gift
top gifts,33,14.0,1384.0,77.0,100000.0,26,other gift
gifts for mom birthday,33,14.0,1429.0,-60.0,100000.0,27,mom gift
black home decor,33,28.0,2791.0,7.0,100000.0,28,home decor
white elephant gifts women,33,27.0,271.0,84.0,10000.0,8,white elephant
electric wax melt warmers,33,411.0,821.0,92.0,2000.0,11,wax warmer
candle maker,34,3271.0,1884.0,14.0,576.0,28,wax warmer
christmas gift mom,34,11.0,1093.0,117.0,100000.0,26,mom gift
candle warmer lamp 2 pack,34,1428.0,1428.0,56.0,1000.0,26,candle warmer
a candle warmer lamp,34,3125.0,3125.0,37.0,1000.0,28,candle warmer
scentsy warmer,35,2199.0,2199.0,-21.0,1000.0,27,wax warmer
black candle warmer,35,1232.0,1232.0,16.0,1000.0,27,wax warmer
godonlif candle warmer lamp,35,1923.0,1050.0,-9.0,546.0,25,candle warmer
candle warmer black,36,1218.0,1218.0,38.0,1000.0,26,wax warmer
gifts for a mom,37,11.0,1053.0,37.0,100000.0,25,mom gift
house gifts for women,37,12.0,1232.0,103.0,100000.0,26,gift for women
home gifts for women,37,17.0,1656.0,112.0,100000.0,26,gift for women
candle burner,37,715.0,1429.0,18.0,2000.0,26,wax warmer
vintage lamp,37,525.0,10509.0,-11.0,20000.0,38,aromatherapy
mom presents for christmas,37,17.0,698.0,65.0,40000.0,10,mom gift
