"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
light,光,,,SP广告词,201 ,1 ,B0CDRDK6MR,"11,760","83,873 ",100 ,0.12%,"2,121,755 ","35,701 ",3 ,73 ,"261,725 ",0.3 ,647 ,17.2%,14.2%,$1.79,$1.40 - $2.05,B0CQSJRPXF,7.2%,5.7%,B0BDF8CVBN,5.8%,3.9%,B0C2MHG632,4.2%,4.6%,"B07QXMXWFN,B0DBQFFTQZ,B099WTN2TR,B0DGQN63P4,B08D9N7RJ4,B0BZNTXGQS,B0D93B4H8Q,B096ZJ3SDZ,B0CD7J24VK,B0CGJ3S8YM"
beautiful gifts for women,送给女性的精美礼物,,,自然搜索词,195 ,2 ,B0C27FG8L9/B0CDRDK6MR,"566,648","1,520 ",91 ,6.01%,"44,262 ",578 ,3 ,0 ,"133,036 ",0.0 ,56 ,19.0%,11.1%,$1.50,$0.91 - $2.00,B09JNRXJD6,7.8%,0.0%,B0CFXFBG4L,6.0%,5.6%,B0BRG1VRB2,5.2%,5.6%,"B097BSKN9P,B09Y8SV5RY,B00ZHJDT7U,B09RN1ZH6L,B07S651GSW,B09JNRXJD6,B0CH9YH88N,B07GV56HH8,B0DFM9HPL9,B07RWP481J"
candle warmer lamp marycele,玛丽塞莱蜡烛加热灯,,,自然搜索词/视频广告词,195 ,8 ,B0CFLRBTYN/B0C2771TLS/B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR,"930,763",535 ,15 ,2.85%,"14,084 ",236 ,1 ,0 ,521 ,1.0 ,5 ,91.4%,66.7%,$1.29,$0.89 - $1.79,B0BWJRJYS7,78.6%,66.7%,B0D7SB84YP,7.1%,0.0%,B0CPFFWC77,5.7%,0.0%,"B0BWJRJYS7,B0D7SB84YP,B0D95KQRSB,B0CTJGJL2T,B0DJVW9D26,B0D2XXX8CJ,B0D95P2CFB,B0CFLRBTYN,B0D94LQ5XZ,B0CHB2G96S"
woods lamp,树林灯,,,自然搜索词,194 ,5 ,B0CXJ9338V/B0CTJGJL2T/B0DDX8MYKQ/B0CDRDK6MR/B0CGZS5129,"236,851","9,385 ",617 ,6.58%,"213,258 ","3,976 ",15 ,38 ,"28,112 ",0.3 ,26 ,50.4%,42.7%,$0.82,$0.72 - $1.00,B075GWKN83,29.5%,38.2%,B07T414J6J,12.2%,4.4%,B0D7VXFF4J,8.6%,0.0%,"B075GWKN83,B089FKH6KB,B091CXT2Q9,B0CKVVHGJB,B09M3VKFBH,B0CNXJJWB6,B0CNXCJRCC,B0B8RMDGCB,B0D421N2JF,B07T414J6J"
table lamp for bedroom,卧室台灯,,,SP广告词,194 ,1 ,B0CGZS5129,"34,498","42,631 ",584 ,1.37%,"1,105,448 ","18,926 ",14 ,15 ,"12,126 ",3.5 ,163 ,17.1%,14.4%,$1.49,$0.81 - $1.86,B0BZXNSW5K,8.3%,8.2%,B074XPNS3Z,5.1%,4.1%,B0BHVP949X,3.7%,2.1%,"B0BZXNSW5K,B0C4SZBN64,B0D41XL87F,B0BHVP949X,B074XPNS3Z,B087CDBKCH,B08F5BNWBR,B0BR3R7GHN,B0CJFVVWGK,B09WHC65KQ"
shower lamp,淋浴灯,,,品牌广告词,192 ,1 ,B0CDRDK6MR,"34,917","46,631 ",293 ,0.63%,"1,016,791 ","22,775 ",7 ,20 ,"3,953 ",11.8 ,176 ,44.0%,29.2%,$1.50,$0.86 - $1.84,B0C7GVG4WK,18.9%,14.6%,B09Z7YWHRY,18.8%,10.4%,B0C39BWTL4,6.3%,4.2%,"B09Z7YWHRY,B0C39BQZDG,B0CC1LB7GM,B0C39BWTL4,B07SM6G1PD,B0CQYMYKX7,B0C7GVG4WK,B0CQYNK5Q8,B0D7ZQDX6X,B0CQYP99W3"
desk decor for men,男士办公桌装饰,,,自然搜索词,191 ,1 ,B0C2771TLS,"125,599","11,579 ",126 ,1.09%,"331,918 ","5,148 ",3 ,0 ,"28,873 ",0.4 ,115 ,13.8%,7.3%,$1.89,$1.41 - $2.38,B08SVQ9D49,5.5%,7.3%,B000QTUJXS,4.7%,0.0%,B09ZP4RCPP,3.7%,0.0%,"B000QTUJXS,B075S9V5WL,B07RY1VR6G,B08VN8VTQQ,B08C51CH14,B0CGJB1XMT,B0D2KZXNT2,B09NL6SSMN,B0BZ83V651,B0191DLEBU"
gold table lamp,金色台灯,,,自然搜索词/SP广告词,190 ,1 ,B0CGZS5129,"137,163","12,251 ",140 ,1.15%,"351,970 ","5,539 ",4 ,8 ,"2,588 ",4.7 ,133 ,16.1%,22.2%,$0.80,$0.60 - $1.00,B07MJL1ZS3,8.3%,11.1%,B0D5Y72BBT,4.2%,11.1%,B0C68MZFHY,3.6%,0.0%,"B08MW8X85C,B07MJL1ZS3,B0CHXXQ8LT,B0845RYS6G,B07XNLWZ6R,B08ZH3QQ3H,B0BWMZGFJR,B07NW4Q8HP,B0C1YSS5D2,B0CZDJ3SMY"
desk heater,桌上加热器,,,SP广告词,190 ,1 ,B0CDRDK6MR,"35,993","70,007 ","2,044 ",2.92%,"1,424,212 ","33,166 ",47 ,25 ,"1,013 ",69.1 ,211 ,36.1%,17.5%,$1.76,$1.37 - $1.99,B074MR2C61,16.7%,4.0%,B0CCTTBLGK,12.6%,12.6%,B09DC41WD3,6.9%,0.9%,"B074MX8VN5,B0895QVCYC,B09DC41WD3,B0CCTTBLGK,B09MHHK2PV,B0D9VTLKB3,B095PP1GZR,B0C6FCKQML,B074MW25S5,B0BGSPP7S1"
christmas gift,圣诞礼物,,,自然搜索词,190 ,2 ,B0CDRDK6MR/B0C27FG8L9,"13,113","73,338 ","4,268 ",5.82%,"1,517,052 ","29,018 ",97 ,13 ,"223,801 ",0.3 ,238 ,10.2%,5.3%,$3.07,$2.07 - $4.46,B07GBFT6Z3,4.9%,2.5%,B08X94JGJ1,2.8%,2.2%,B0BGRPQVMJ,2.4%,0.6%,"B07YJFHKZ7,B0BWDWNH5G,B089D3Q24T,B07SM61FCT,B0CF58LSJN,B08X94JGJ1,B0DL6FSFGW,B0DNY4D7Z7,B09RN1ZH6L,B09X5YL52K"
decor living room,装饰客厅,,,自然搜索词,190 ,2 ,B0CQQLYD3W/B0CDRDK6MR,"577,470","2,226 ",53 ,2.42%,"63,120 ","1,058 ",2 ,1 ,"147,995 ",0.0 ,57 ,17.5%,0.0%,$2.11,$1.59 - $3.00,B09NC1VGTW,6.1%,0.0%,B09ZRT5QPG,6.1%,0.0%,B0CF9K1NJM,5.3%,0.0%,"B0BPLB81LX,B0714K41PB,B086ZLGLV3,B099WTN2TR,B07DQCJ84X,B0BTRZBGGZ,B0D4DJ6BRR,B09WVQZX16,B09ZRT5QPG,B08Z36X6B4"
cool desk lamp,很酷的台灯,,,自然搜索词,188 ,1 ,B0CGZS5129,"441,910","3,003 ",17 ,0.59%,"65,913 ","1,463 ",1 ,0 ,"7,349 ",0.4 ,16 ,20.8%,22.2%,$2.70,$2.01 - $3.20,B0CBN6PL3Z,8.1%,0.0%,B07PBHFLKK,7.4%,11.1%,B0CP7G5444,5.4%,11.1%,"B0D41XL87F,B09YV633PL,B0BNHNG5CY,B0C4JTPPYY,B0BR5JHB3Z,B07PBHFLKK,B0BB5ZBT42,B0BRCJL4MM,B0B87D9X86,B0CBN6PL3Z"
cozy gift ideas,舒适的礼物创意,,,自然搜索词,186 ,2 ,B0C27FG8L9/B0CDRDK6MR,"835,259",,,,,,1 ,0 ,"4,550 ",0.0 ,5 ,16.0%,9.1%,$1.33,$1.00 - $1.65,B0BWJ7W36N,7.0%,0.0%,B01ELWWX98,5.0%,0.0%,B0B9X4GD1N,4.0%,9.1%,"B07YFLTR2L,B0009F3R7E,B0B453D5ZM,B09B8XQ5JB,B08C9RZN37,B09CYRXHB2,B075P7R3VN,B0B4W4DPJ8,B096ZG2X8L,B0C6L1P8JV"
goft for mom,送给妈妈的礼物,,,自然搜索词,185 ,1 ,B0CDRDK6MR,"519,206","1,883 ",114 ,6.06%,"49,198 ",871 ,3 ,0 ,"166,211 ",0.0 ,20 ,15.8%,14.7%,$1.99,$1.49 - $2.49,1081439793,7.1%,8.8%,B091Q17CGW,4.7%,5.9%,B09319MZJN,3.9%,0.0%,"B089D3Q24T,B07SM61FCT,1081439793,B0CV7Z3MLD,B0BMQBTC26,B0BR41SJYD,B09JT15JQF,B0CJYN69ZY,B07G142F9Z,B0C6DH1TKC"
living room,起居室,,,自然搜索词,181 ,1 ,B0CQQLYD3W,"38,167","37,517 ",101 ,0.27%,"1,090,233 ","16,207 ",3 ,72 ,"154,469 ",0.2 ,153 ,12.0%,11.1%,$0.92,$0.79 - $1.14,B0DKF2MKCH,5.3%,5.6%,B08Z36X6B4,4.3%,5.6%,B09ZRT5QPG,2.4%,0.0%,"B099WTN2TR,B09SHDW2KT,B08Z36X6B4,B09ZRT5QPG,B086ZLGLV3,B0C4DGFFCM,B0B9GXYT5D,B0D9GFYJBV,B095NXXP8C,B0C4NDWF3X"
things for moms,给妈妈的东西,,,自然搜索词,181 ,1 ,B0C27FG8L9,"505,258","3,098 ",31 ,1.02%,"70,812 ","1,222 ",1 ,0 ,"45,277 ",0.1 ,44 ,19.8%,20.0%,$2.59,$1.95 - $3.25,B0CS3VC7X2,9.9%,10.0%,B0CYM8D2DK,5.3%,5.0%,B0CWXKHM2C,4.6%,5.0%,"B07Y7ZQ265,B0BR41SJYD,B08TQKC6PQ,B0CYM8D2DK,B0C6DH1TKC,B0BYD6Q3WV,B0C7C9PYNV,1601065655,B09NZPY255,B0CC21YRVH"
office desk gifts,办公桌礼物,,,自然搜索词,179 ,1 ,B0CDRDK6MR,"471,474","2,401 ",48 ,2.04%,"70,763 ",979 ,2 ,0 ,"110,712 ",0.0 ,51 ,16.4%,6.3%,$1.40,$1.05 - $1.75,B08LYY5NTN,6.4%,0.0%,B00I4HV3TS,5.7%,6.3%,B0BRMX3SWH,4.3%,0.0%,"B09Y8SV5RY,B00I4HV3TS,B000QTUJXS,B08NCMDSF9,B08VN8VTQQ,B0BRMX3SWH,B000CO89T8,B0C6TQLCYK,B0B7HZNMPZ,B0B253HMYK"
valentine gifts for women,给女性的情人节礼物,,,自然搜索词,179 ,1 ,B0CDRDK6MR,"570,747",,,,,,1 ,0 ,"180,079 ",0.0 ,96 ,17.2%,0.0%,$0.57,$0.43 - $0.73,B0DHKCTDJP,7.8%,0.0%,B0BXFTSKC2,5.2%,0.0%,B07GBFT6Z3,4.3%,0.0%,"B0BXFTSKC2,B09JNRXJD6,B0CFXFBG4L,B0CFV8XDHZ,B07ZR8RRX5,B0CJ5MSZNT,B07413HYP1,B09C5QGFL7,B07CLG64HS,B09R1KX4C2"
cool white elephant gifts for men,男士酷炫惊喜礼物,,,自然搜索词,176 ,1 ,B0C2771TLS,"463,894",,,,,,1 ,0 ,"19,325 ",0.0 ,7 ,12.2%,9.1%,,-,B09WRDQMGN,4.4%,6.1%,B0BBCHQJSN,4.4%,0.0%,B0CDPMVBSS,3.3%,3.0%,"B07J66V6ZS,B0BBCHQJSN,B001XSFW42,B01DWH11L4,B0BVZ8DF8H,B08JHV66N1,B0BJV68C17,B07DFRRCRP,B0813NDWSD,B0CHFBG59G"
best christmas gifts,最好的圣诞礼物,,,自然搜索词,176 ,1 ,B0CDRDK6MR,"557,287","4,767 ",159 ,3.35%,"95,671 ","2,124 ",4 ,0 ,"160,851 ",0.0 ,155 ,9.3%,6.3%,$2.49,$1.87 - $3.10,B07SM61FCT,3.4%,0.0%,B0CM7BN919,3.4%,0.0%,B0CG65PYBV,2.5%,6.3%,"B014E2D6BY,B01HHRDXWK,B0BWDWNH5G,B07SM61FCT,B089D3Q24T,B0CGHP95LB,B0CG65PYBV,B08DMLZQXW,B09RN1ZH6L,B0009F3R7E"
care package for women,女性护理包,,,HR推荐词,173 ,1 ,B0C2771TLS,"40,858","37,553 ","1,306 ",3.48%,"819,015 ","14,583 ",30 ,25 ,"93,728 ",0.4 ,223 ,25.2%,11.9%,$0.81,$0.61 - $1.00,B0C141C134,12.8%,6.4%,B0BKVN3W44,7.0%,3.2%,B0C72WPVH8,5.4%,2.4%,"B01N22CM3F,B00FBGKCHE,B0CS68Q2LY,B0D8TXKMKP,B0CG37K5VZ,B0BG9R5M3D,B0DC3PKD9X,B0CS6G9PQP,B0C48PGYYK,B0BKVN3W44"
anthropologie gifts,安特卫普礼品,,,自然搜索词,173 ,2 ,B0C27FG8L9/B0CDRDK6MR,"876,664",,,,,,1 ,0 ,"2,789 ",0.0 ,5 ,21.1%,20.0%,$1.78,$1.53 - $2.24,B0C7LQFN5B,8.4%,15.0%,B0DGKDVLGS,6.3%,5.0%,B09RPKGVDW,6.3%,0.0%,"B09YDJGDYR,B09TTC5SXM,B01K8RMDO0,B00UY46JLQ,B07H14RYTV,B07PHVLFK7,B07NSPCS25,B00PZMFSBY,B009FBVC98,B00VK5SG46"
coastal bedroom decor,沿海卧室装饰,,,自然搜索词,173 ,1 ,B0CGZS5129,"441,866","2,702 ",6 ,0.23%,"64,322 ","1,120 ",1 ,0 ,"16,854 ",0.2 ,38 ,18.1%,0.0%,$1.58,$1.39 - $1.94,B0D91NZJ4Q,8.7%,0.0%,B0BPLB81LX,5.4%,0.0%,B07979Q73P,4.0%,0.0%,"B07WGMV68J,B07HMJFDK3,B09Q2XQHKL,B08N9QZZJ2,B0B74S5QNQ,B0BYSQPLJN,B09PH2NCW5,B0BPLB81LX,B07979Q73P,B093XY9DP6"
gu10 c 110v 50w candle warmer,,,,自然搜索词,172 ,1 ,B0C2771TLS,"138,729","5,374 ","1,080 ",20.11%,"148,457 ","2,362 ",25 ,0 ,146 ,36.8 ,6 ,70.0%,58.4%,$1.24,$0.93 - $1.54,B0CGXDP73D,27.4%,21.2%,B0CP5X3V7M,21.6%,17.8%,B07F9VM5KP,21.0%,19.5%,"B0CGXDP73D,B0CP5X3V7M,B07F9VM5KP,B07PS386YX,B0C4ZX94BR,B0CJLK34N4,B0CXXSXMB1,B0CXXY48RK,B0CT4NCZMC,B0CZL3X8BQ"
girly office decor,少女办公室装饰,,,自然搜索词,169 ,1 ,B0CGZS5129,"588,262","2,334 ",76 ,3.28%,"52,374 ","1,150 ",2 ,0 ,"3,129 ",0.8 ,133 ,17.0%,14.3%,$0.37,$0.28 - $0.46,B0CYKPTWHV,8.0%,14.3%,B00I4HV3TS,4.5%,0.0%,B0BRMX3SWH,4.5%,0.0%,"B00I4HV3TS,B0B4JYRFKM,B0BRCRKL9K,B0C5QQVT43,B0BRMX3SWH,B0BC218WMM,B0BM8L76X9,B0C8C6ZFXW,B0949DWJCV,B0C1GW4GD4"
drew starkey flag,Drew Starkey旗帜,,,SP广告词,168 ,1 ,B0CXJ9338V,"16,131","55,023 ","1,733 ",3.15%,"1,202,086 ","24,066 ",40 ,20 ,127 ,433.3 ,125 ,37.7%,37.7%,$0.38,$0.28 - $0.49,B0D86YXGS5,17.7%,18.7%,B0DMSHM91Z,10.8%,14.6%,B0DL928G4M,9.2%,4.3%,"B0D86YXGS5,B0DL5PNHNN,B0D8HTCZ53,B0CYY584LN,B0D9Z1FLZB,B0DK55PGLL,B0D7TG567B,B0DMW7HJ8D,B0D7B6TYLS,B0CZ438P6L"
candles gifts for women,给女性的蜡烛礼物,,,自然搜索词,168 ,4 ,B0CXJ9338V/B0CDRDK6MR/B0C27FG8L9/B0DDX8MYKQ,"41,876","29,252 ","2,541 ",8.69%,"598,738 ","12,503 ",58 ,12 ,"10,860 ",2.7 ,358 ,10.9%,9.5%,$2.30,$1.17 - $2.89,B0CHLZ8BT2,4.6%,2.9%,B08XZ3HWF3,3.6%,4.1%,B0D7D3WG2N,2.7%,2.5%,"B0CHYWN5W6,B0CR7L79Q2,B07TYM4LMX,B08XZ3HWF3,B01N1TA2SD,B088H1JW5W,B0BVQBQBPQ,B0CHLZ8BT2,B0BLXDJJRV,B0BBVXRZ3F"
girl bedroom decor,女孩卧室装饰,,,自然搜索词,168 ,1 ,B0CGZS5129,"132,756","14,669 ",99 ,0.68%,"430,142 ","5,724 ",3 ,0 ,"98,131 ",0.2 ,60 ,13.1%,4.4%,$0.40,$0.30 - $0.50,B0BZP6PZWL,6.2%,4.4%,B08P94MCZQ,3.5%,0.0%,B0C9SMX2VP,3.5%,0.0%,"B0B63GRXMW,B0BMW361N3,B0BTHDG9J8,B0BJ1D3ZGZ,B0D1YCV8WS,B09BP35P1Y,B0CLDSGWF8,B0BF8QL4RN,B0164A4ZRI,B0BWTZP9KF"
scalloped lamp,扇形灯,,,自然搜索词,167 ,1 ,B0CGZS5129,"520,832","1,916 ",52 ,2.74%,"51,493 ",789 ,2 ,5 ,842 ,2.3 ,8 ,30.7%,0.0%,$0.87,$0.55 - $1.13,B0CZ3FGGMW,13.4%,0.0%,B0CXFBD5R5,10.2%,0.0%,B0BZ8KSZDQ,7.1%,0.0%,"B0CXFBD5R5,B0CZ3FGGMW,B0CQY2PLBP,B0D8TMWTMV,B0CTH76727,B0BZ8KSZDQ,B0D8JL8RKR,B0D8TLHKDR,B095HHTHHQ,B0CY2Z9GYS"
boho table lamp,波西米亚风台灯,,,视频广告词,165 ,3 ,B0CGZS5129/B0C2771TLS/B0C27FG8L9,"182,539","8,204 ",247 ,3.02%,"224,671 ","3,859 ",6 ,13 ,"1,139 ",7.2 ,167 ,16.8%,5.9%,$0.92,$0.73 - $1.29,B0CHY3G966,8.7%,0.0%,B0BGSDMXLT,4.5%,0.0%,B0B8D2K76V,3.6%,5.9%,"B0CHY3G966,B0BWFJNBYQ,B0C1NP6GG8,B0B1NWK8M7,B0BXXJBX7X,B0C1NNRFGG,B097XL8XS9,B0C4SZBN64,B0BGSDMXLT,B0CLV6PMFV"
stanley mug,斯坦利水杯,,,SP广告词,165 ,1 ,B0C2771TLS,"16,559","79,859 ","5,079 ",6.36%,"1,623,099 ","38,526 ",116 ,0 ,"3,041 ",26.3 ,80 ,39.4%,9.6%,$1.25,$0.94 - $1.58,B09PVNQ41G,26.4%,4.9%,B0CP9YB3Q4,7.4%,1.4%,B0CSF4Q13H,5.6%,3.3%,"B09HN3H8HC,B0CP9YBWMG,B088JPNC1Y,B0BV89KB7M,B0CP9YB3Q4,B07NPKXDB2,B08F2WMW43,B07NPKZ5K9,B09PL7GCHV,B0BNYR7MQV"
sexy bedroom decor,性感的卧室装饰,,,自然搜索词,164 ,1 ,B0CGZS5129,"569,949","1,806 ",53 ,2.96%,"52,636 ",781 ,2 ,2 ,"3,589 ",0.5 ,61 ,36.2%,0.0%,$0.37,$0.31 - $0.50,B0C6F3BQF7,24.1%,0.0%,B0BXCYHTGN,7.8%,0.0%,B081MSDXBM,4.3%,0.0%,"B0C4WTTC9J,B0BXCYHTGN,B08Y8MXQ9P,B0CWQF6CNN,B099ZRCGWW,B0C6F3BQF7,B01FDEO5SK,B09BB8SVL8,B07H87N3WG,B081MSDXBM"
gold christmas decor,金色圣诞装饰,,,自然搜索词,163 ,3 ,B0CGZS5129/B0CDRDK6MR/B0C27FG8L9,"309,533","57,587 ",357 ,0.62%,"1,197,392 ","23,976 ",9 ,3 ,"71,023 ",0.8 ,113 ,13.1%,4.6%,$0.69,$0.51 - $0.87,B0CBMDZQ1X,4.7%,0.0%,B0D9V5NZ1B,4.7%,0.0%,B0DG8V4FCR,3.8%,4.6%,"B081SDV7SV,B074V1WZZ9,B07GNV8ZXG,B0C2KMYPQ9,B09F5LS3TH,B0CB14X1T4,B0CLM984T9,B0DDKFHSXB,B09GVNJMXJ,B09J7Y3ZC6"
bedside lamp,床头灯,,,SP广告词,161 ,1 ,B0CGZS5129,"17,341","68,877 ","1,205 ",1.76%,"1,936,806 ","29,566 ",29 ,33 ,"10,966 ",6.3 ,387 ,21.5%,16.8%,$1.41,$1.07 - $1.77,B0BZXNSW5K,9.8%,7.1%,B0BHVP949X,6.0%,5.5%,B074XPNS3Z,5.7%,4.3%,"B0BZXNSW5K,B0C4SZBN64,B0D41XL87F,B074XPNS3Z,B08F5BNWBR,B0BHVP949X,B087CDBKCH,B0CJFVVWGK,B0CHHFKWPV,B0B8D2K76V"
table lamps set of 2,台灯2套,,,SP广告词,161 ,1 ,B0CGZS5129,"44,807","36,915 ",273 ,0.74%,"751,737 ","17,828 ",7 ,17 ,"3,133 ",11.8 ,482 ,13.5%,9.4%,$1.24,$0.81 - $1.52,B0C4SZBN64,5.2%,1.6%,B0D3WTFWQ9,4.3%,0.8%,B0D1KB4G6T,4.0%,7.0%,"B0C4SZBN64,B0D3WTFWQ9,B0CP3YL6QJ,B09VXK6QJ6,B0D1KB4G6T,B0CJFVVWGK,B0BQ36VLWX,B0BTCYTJ67,B08F5BNWBR,B091V8WWRV"
boho room decor,波西米亚房间装饰,,,自然搜索词/视频广告词,161 ,3 ,B0CDRDK6MR/B0CGZS5129/B0C27FG8L9,"35,440","35,541 ",152 ,0.43%,"966,533 ","13,976 ",4 ,2 ,"74,149 ",0.5 ,111 ,11.1%,0.0%,$0.82,$0.62 - $1.03,B0B1X5GF89,4.3%,0.0%,B0BRQBVKBB,3.5%,0.0%,B0CD59K7PX,3.3%,0.0%,"B085HLWXHN,B0B27WGC8Q,B0C7GCVHM6,B093GVJWYQ,B0C1677BQ7,B0CD59K7PX,B0C4XX8NKQ,B09LQJBCT7,B0BXY61MQT,B07GMQ42GG"
night stand lamp,床头灯,,,SP广告词,160 ,1 ,B0CGZS5129,"44,879","30,748 ",335 ,1.09%,"705,714 ","12,803 ",8 ,2 ,"6,207 ",5.0 ,99 ,19.7%,13.6%,$0.87,$0.66 - $1.10,B0BHVP949X,7.3%,4.0%,B074XPNS3Z,6.6%,6.8%,B0BZXNSW5K,5.9%,2.8%,"B087CDBKCH,B074XPNS3Z,B0C4SZBN64,B0BZXNSW5K,B0BHVP949X,B0CJFVVWGK,B08F5BNWBR,B09BDGBV43,B0BTCYTJ67,B0D12JQHZF"
unique family gifts for christmas,独特的圣诞家庭礼物,,,自然搜索词,158 ,1 ,B0DDX8MYKQ,"489,818","1,151 ",29 ,2.59%,"28,574 ",486 ,1 ,0 ,"119,381 ",0.0 ,2 ,15.1%,9.5%,,-,B0B4X5SLKC,5.2%,4.8%,B07XGNSH8Y,5.2%,0.0%,B00PY05VMS,4.7%,4.8%,"B0B785V2NF,B005Q8X6IO,B095J8X1VF,160433696X,B09RN1ZH6L,B0973JRDNC,B0CM7BN919,B0BBL81SGX,B0CMVLDKYM,B07JN5467R"
fruit basket gift,水果篮礼品,,,SP广告词,155 ,1 ,B0C2771TLS,"45,275","16,695 ",252 ,1.51%,"401,657 ","8,217 ",6 ,2 ,917 ,18.2 ,98 ,26.8%,21.0%,$3.18,$2.47 - $4.01,B006GL6N9E,13.8%,9.9%,B07HGW9SZF,6.9%,7.4%,B00NIPV96I,6.1%,3.7%,"B07CHSN691,B07KBCX5GQ,B08DT16DJK,B00F34772M,B07VZXHTKH,B01136INBW,B006GL6N9E,B00QF2LV9Q,B08NBKGCV2,B00NIPV8VY"
gifts fir her,送给她的礼物,,,自然搜索词,154 ,1 ,B0CDRDK6MR,"639,000","1,944 ",94 ,4.87%,"46,936 ",818 ,3 ,0 ,"137,611 ",0.0 ,8 ,11.6%,0.0%,$0.20,$0.18 - $0.23,B07GJR4KXM,3.9%,0.0%,B09B1C9LC2,3.9%,0.0%,B09ZXJDSL5,3.9%,0.0%,"B0BX92ZT75,B08GHNRG5Q,B0BNYR7MQV,B01MFGN8S5,B09RN1ZH6L,B09F2J4SX1,B08R79ZDMB,B0BFHXRG1F,B09JT15JQF,B07SM61FCT"
gold desk lamp,金色台灯,,,自然搜索词/SP广告词,154 ,1 ,B0CGZS5129,"174,574","8,909 ",180 ,2.03%,"235,532 ","3,945 ",5 ,4 ,"2,792 ",3.2 ,97 ,17.4%,16.3%,$2.14,$1.61 - $2.68,B08NDRRVJY,7.0%,2.3%,B0CZDJ3SMY,5.4%,4.7%,B08GDW5JYF,5.1%,9.3%,"B08MW8X85C,B08GDW5JYF,B08NDRRVJY,B0CZDJ3SMY,B08GF9C4XL,B0BYSG8M5M,B0CJRGLZ6Y,B0BXRSR94C,B081DPMCQQ,B077NZ1J5K"
little lamp,小灯,,,自然搜索词,153 ,2 ,B0CGZS5129/B0CDRDK6MR,"377,035","3,714 ",121 ,3.26%,"100,087 ","1,509 ",3 ,0 ,"116,524 ",0.0 ,19 ,15.4%,40.0%,$0.94,$0.70 - $1.19,B074XPNS3Z,7.4%,20.0%,B0B8D2K76V,4.6%,10.0%,B0BC1QW2MC,3.4%,10.0%,"B074XPNS3Z,B0BZXNSW5K,B0BWFJNBYQ,B00CM5TJDU,B0D41XL87F,B0CR7CHX5Y,B00CM5TWGO,B08DR8NG63,B0B87KMF9W,B07DPCKBB1"
regalos para mujer elegantes,送给女性的优雅礼物,,,自然搜索词,152 ,1 ,B0C27FG8L9,"595,423",976 ,29 ,3.07%,"25,598 ",455 ,1 ,0 ,"10,667 ",0.1 ,49 ,18.9%,20.0%,$0.88,$0.67 - $1.11,B07C5MSTFP,7.2%,10.0%,B0CS66YDVG,6.3%,10.0%,B08LPNP5P8,5.4%,0.0%,"B07JF9H26S,B07GWM1RD4,B07C5MSTFP,B0193XJZ1Y,B017YKW1PU,B09Y8SV5RY,B0CS66YDVG,B0CY4SXX3Y,B00QRSZOQY,B019Q3U7UE"
gift for daughter from mom,妈妈给女儿的礼物,,,自然搜索词,151 ,1 ,B0CDRDK6MR,"578,041","1,889 ",276 ,14.62%,"44,102 ",785 ,7 ,0 ,"94,094 ",0.0 ,69 ,21.9%,3.2%,$4.00,$3.00 - $5.00,B09JBJ5ZSW,11.4%,0.0%,B0CB5YRXJZ,6.1%,3.2%,B09KXH1GBP,4.4%,0.0%,"B0C9PF1KKJ,B0CC4PP928,B08YMTMFJ4,B0CR17RP44,B09RDC53Q9,B0CMTC6DSX,B0036U4KO8,B0D22HLXWG,B0DBQP8QLH,B0D8Q4ZG2M"
best christmas gifts for women,送给女性的最佳圣诞礼物,,,自然搜索词,151 ,2 ,B0CDRDK6MR/B0C27FG8L9,"602,786","4,681 ",174 ,3.73%,"123,221 ","1,833 ",4 ,0 ,"205,173 ",0.0 ,26 ,9.2%,0.0%,$2.43,$1.64 - $2.98,B09BDGQYW5,3.7%,0.0%,B0754MHLJP,2.8%,0.0%,B07GBFT6Z3,2.8%,0.0%,"B07SM61FCT,B089D3Q24T,B0BJYCRS51,B07P8395DZ,B004EDWMBO,B0BWJRJYS7,B0CWV5C3XH,B06XY32DP9,B08GHNRG5Q,B07L5QGF38"
